time/s	                cycle number	        ox/red	Ewe/V	        I/mA	        Capacity/mA.h	Unnamed: 6
15803.37826119395	1.0	1	3.7314181	44.924377	0.0	
15803.37846119393	1.0	1	3.7380731	45.004025	2.500223583645291e-06	
15803.37866119394	1.0	1	3.7409594	44.994469	4.999916288587782e-06	
15803.37886119394	1.0	1	3.7434449	45.004665	7.500175476074219e-06	
15803.37926119394	1.0	1	3.746171	44.999569	1.249991522894965e-05	
15803.37946119392	1.0	1	3.7478549	44.998291	1.499982028537326e-05	
15803.37966119392	1.0	1	3.7493782	44.997017	1.749965455796983e-05	
15803.38006119391	1.0	1	3.7512224	45.003391	2.250003136528863e-05	
15803.3808611939	1.0	1	3.7525556	45.006577	3.250103272332085e-05	
15803.38126119389	1.0	1	3.7537582	44.997017	3.75011969672309e-05	
15803.3816611939	1.0	1	3.7549801	44.995106	4.250097190009223e-05	
15803.38226119388	1.0	1	3.7565837	45.007851	5.000196181403266e-05	
15803.38286119388	1.0	1	3.757901	44.997658	5.750249163309733e-05	
15803.38346119388	1.0	1	3.7590272	45.000202	6.500302102830676e-05	
15803.38406119388	1.0	1	3.7600579	45.002754	7.250344467163086e-05	
15803.38486119386	1.0	1	3.7614517	45.004665	8.250356059604221e-05	
15803.38586119385	1.0	1	3.7627881	45.008488	9.500453779432508e-05	
15803.38666119384	1.0	1	3.7638953	45.004025	0.0001050048311021593	
15803.38766119382	1.0	1	3.7649643	45.002754	0.0001175061272515191	
15803.38866119381	1.0	1	3.7660332	44.997658	0.0001300066441429986	
15803.3896611938	1.0	1	3.7670832	45.005939	0.0001425079046885172	
15803.39086119378	1.0	1	3.7682669	44.999569	0.0001575098491244846	
15803.39226119377	1.0	1	3.7692978	45.007214	0.000175011910756429	
15803.39366119375	1.0	1	3.7703094	45.006577	0.0001925135830773247	
15803.39486119375	1.0	1	3.7713404	45.008488	0.0002075151733822293	
15803.39646119371	1.0	1	3.7723522	45.003391	0.0002275177069769965	
15803.3980611937	1.0	1	3.7733641	44.999569	0.0002475197094811333	
15803.39966119369	1.0	1	3.7744329	45.004025	0.0002675216053856743	
15803.40166119367	1.0	1	3.7754447	45.000202	0.0002925236301422118	
15803.40366119365	1.0	1	3.7766476	45.007214	0.0003175261864132351	
15803.4060611936	1.0	1	3.7777357	45.002113	0.0003475278447469074	
15803.40866119359	1.0	1	3.7788048	45.000843	0.0003800308950212266	
15803.41106119355	1.0	1	3.7799311	45.006577	0.0004100343941582573	
15803.4134611935	1.0	1	3.7809427	45.002754	0.0004400372208489311	
15803.41706119347	1.0	1	3.7821264	45.003391	0.0004850417792002359	
15803.42066119342	1.0	1	3.7831955	45.01104	0.000530046621110704	
15803.42406119338	1.0	1	3.7842455	45.007214	0.0005725502482520207	
15803.42766119335	1.0	1	3.7852571	45.000843	0.0006175533907148571	
15803.43206119328	1.0	1	3.7863071	45.00148	0.0006725584899054632	
15803.43646119324	1.0	1	3.7873952	45.009129	0.0007275640852186414	
15803.44186119319	1.0	1	3.7884452	45.005302	0.0007950701264275444	
15803.44806119309	1.0	1	3.7894571	45.007851	0.0008725780184004041	
15803.454461193	1.0	1	3.790488	45.000202	0.0009525845769246418	
15803.46166119294	1.0	1	3.7915187	45.004025	0.001042591641320122	
15803.47046119282	1.0	1	3.7925687	45.004025	0.001152603008058336	
15803.48126119269	1.0	1	3.7936378	45.007214	0.001287618701934814	
15803.49466119253	1.0	1	3.7946687	45.006577	0.001455135285483466	
15803.51206119233	1.0	1	3.795814	44.998928	0.001672655636257596	
15803.53846119199	1.0	1	3.7968259	45.007214	0.002002691616482205	
15803.57366119156	1.0	1	3.7978568	45.002754	0.002442731388515896	
15803.63666119082	1.0	1	3.7988684	45.007214	0.003230308808432685	
15803.74566118949	1.0	1	3.7998803	45.004665	0.0045929446305169	
15803.95686118693	1.0	1	3.8009684	45.002113	0.007233213445663452	
15804.23546118356	1.0	1	3.8019803	45.005939	0.01071607005373637	
15804.58986117927	1.0	1	3.8029921	45.011673	0.01514649263360765	
15804.97446117461	1.0	1	3.8040037	45.005939	0.01995446506860521	
15805.40166116945	1.0	1	3.8050156	45.004665	0.0252950033976237	
15805.85706116393	1.0	1	3.8060274	45.003391	0.03098807197083368	
15806.35726115787	1.0	1	3.8070583	45.002754	0.03724119151157804	
15806.87306115162	1.0	1	3.8080699	45.004025	0.04368934174601238	
15807.43246114485	1.0	1	3.8090818	45.004665	0.05068256196488275	
15808.00146113799	1.0	1	3.8101127	45.002113	0.05779578233061897	
15808.62886113038	1.0	1	3.8111627	45.000202	0.06563907785161337	
15809.28426112243	1.0	1	3.8121746	45.005302	0.07383235700416566	
15809.94066111448	1.0	1	3.8131862	44.999569	0.0820381540145874	
15810.59606110654	1.0	1	3.8142362	45.006577	0.09023144514189826	
15811.38826109696	1.0	1	3.8152671	45.004665	0.1001349218006134	
15812.13346108794	1.0	1	3.8163362	45.006577	0.1094508274404738	
15812.98146107767	1.0	1	3.817348	45.000202	0.1200518695025974	
15813.83306106736	1.0	1	3.8183978	45.009129	0.1306979651574029	
15814.66226105732	1.0	1	3.8194478	45.000202	0.1410640034658644	
15815.64046104548	1.0	1	3.8204787	45.007214	0.1532927168837653	
15816.56906103424	1.0	1	3.8214905	45.000843	0.1649013689740499	
15817.54046102247	1.0	1	3.8225214	45.008488	0.1770450981549157	
15818.5126610107	1.0	1	3.8235331	45.007851	0.1891987729992337	
15819.58766099768	1.0	1	3.8245831	45.00148	0.2026376448932224	
15820.72286098394	1.0	1	3.8255949	45.005939	0.2168291543778313	
